"Step Name","Variable Name","Source/Origin","Formula / Description / How it is computed","Code Location","API / External Call","Endpoint Trigger / Protocol","Input Payload","JSON Output Structure"
"Step 1: Orchestration","Incident ID","Trigger Event / Backend Generation","Takes `alaram_id` from the Excel file or generates dynamically using `INC-{datetime.utcnow()}`. Frontend renders `incident.incident_id || incident.alaram_id`.","backend/django_project/api/views.py and rca_source_backend/agentic_engine/core/intent.py","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 1, ""title"": ""Incident Orchestration"", ""data"": {""incident_id"": ""INC-123"", ...}}"
"Step 1: Orchestration","Device","Trigger Event","Extracted directly from the `device` column of the uploaded Excel sheet.","backend/django_project/api/views.py","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 1, ""data"": {""device"": ""core-router-01"", ...}}"
"Step 1: Orchestration","Interface","Trigger Event","Extracted directly from the `resource_name` or `resource_type` column of the uploaded Excel sheet.","backend/django_project/api/views.py","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 1, ""data"": {""interface"": ""GigabitEthernet0/1"", ...}}"
"Step 1: Orchestration","Correlation Window","Frontend Hardcoded Interpolation","Rendered as 'Last 15 min from {incident.timestamp}' to show the time window used for fetching logs and metrics.","src/pages/RCAPlaygroundPage.tsx","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 1, ""data"": {""timestamp"": ""2025-10-28 14:00:00"", ...}}"
"Step 1: Orchestration","Trigger Event","Trigger Event / File Upload","Takes the very first log from the aggregated `incident.logs[0]` array, which represents the root trigger alarm.","src/pages/RCAPlaygroundPage.tsx / backend/django_project/api/views.py","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 1, ""data"": {""logs"": [""Trigger log string...""], ...}}"
"Step 1: Orchestration","Logs and Trap","Historical Data Aggregation","A list of logs (`incident.logs`) fetched from the logging system (or mock data) that occurred within the 15-minute correlation window prior to the trigger event.","rca_source_backend/agentic_engine/trigger_agentic_flow.py","Logging System Search API (e.g., Elasticsearch, Loki)","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 1, ""data"": {""logs"": [""log 1"", ""log 2"", ...], ...}}"
"Step 1: Orchestration","Initial Severity","Frontend Hardcoded","Displayed statically as 'Critical' on the UI for all incidents in the playground.","src/pages/RCAPlaygroundPage.tsx","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 1, ""data"": {...}}"
"Step 1: Orchestration","Goal","Instruction Generation","Generated dynamically by the backend (`incident.goal`) to direct the agentic pipeline on what to solve.","rca_source_backend/agentic_engine/trigger_agentic_flow.py","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 1, ""data"": {""goal"": ""Find root cause..."", ...}}"
"Step 1: Orchestration","KPIs","TSDB Query / Configuration","Fetches telemetry (`incident.signals`) for the device. The frontend maps internal metric names like `utilization_percent` to readable names like 'Bandwidth Utilization' and units like '%' using `KPI_MAP`.","src/pages/RCAPlaygroundPage.tsx / rca_source_backend/agentic_engine/trigger_agentic_flow.py","Time-Series Database query (e.g., Prometheus, VictoriaMetrics)","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 1, ""data"": {""signals"": {""core-router-01"": {""utilization_percent"": 95}}, ...}}"

"Step 2: Intent Routing","Selected Intent","Intent Engine Evaluator","The `id` of the intent that achieved the highest combined score. Chosen from a list of predefined intents after evaluating rules and ML logic.","rca_source_backend/agentic_engine/core/intent.py (rule_based_intent_detection)","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 2, ""title"": ""Intent Routing"", ""data"": {""intent_output"": [[""intent_id"", 0.95, ""template_id""], ...], ...}}"
"Step 2: Intent Routing","Intent Status","Frontend Conditional Logic","Evaluates the Intent Score: if >0.85 it shows '🟢 Strong match', if >0.65 shows '🟡 Medium match', else '🔴 Weak match'.","src/pages/RCAPlaygroundPage.tsx","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 2, ""data"": {""intent_output"": [[""intent_id"", 0.95, ""template_id""], ...], ...}}"
"Step 2: Intent Routing","Intent Score","Hybrid Score Calculation","Computed in backend via `compute_final_confidence` combining `0.5 * rule_score(logs/metrics weighting) + 0.5 * ml_model.predict_proba`.","rca_source_backend/agentic_engine/core/intent.py (compute_final_confidence)","ML Model API or Internal Inference Engine","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 2, ""data"": {""intent_output"": [[""intent_id"", 0.95, ""template_id""], ...], ...}}"
"Step 2: Intent Routing","Top 3 Intents (Other Candidates)","Array Sorting","Takes all evaluated intents, sorts them descending by score, and strips out the top 3 (excluding the best intent) to display as backups. Shows alternate routes the router considered.","src/pages/RCAPlaygroundPage.tsx","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 2, ""data"": {""intent_output"": [[""best"", 0.9], [""backup1"", 0.6], [""backup2"", 0.4]], ...}}"
"Step 2: Intent Routing","Key Matches (Signal Matches)","Rule Evaluator Execution","For the selected intent, displays the exact metrics and threshold operators (e.g., `util_5m > 90` with weight) that evaluated to true in the `rule_based_intent_detection` loop. Shows WHY the router picked this intent.","rca_source_backend/agentic_engine/core/intent.py","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 2, ""data"": {""intent_output"": [..., ..., {""intent_id"": {""signals"": [""util > 90""]}}], ...}}"
"Step 2: Intent Routing","Key Matches (Log Matches)","Rule Evaluator Execution","List of specific string keywords defined in the intent that were successfully pattern-matched inside the aggregated 15-minute `incident.logs`. Shows WHY the router picked this intent.","rca_source_backend/agentic_engine/core/intent.py","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 2, ""data"": {""intent_output"": [..., ..., {""intent_id"": {""keyword"": [""Link Down""]}}], ...}}"
"Step 2: Intent Routing","Intent Description","Configuration Metadata (New addition)","A plain text explanation of what the chosen intent actually means conceptually (e.g. 'This intent triggers when sudden throughput drops heavily correlate with packet loss'). Makes the intent mathematically legible to humans.","rca_source_backend/config/intents.json","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 2, ""data"": {""intent_output"": [[""intent_id"", 0.95, ""template_id"", ""intent_description""], ...], ...}}"

"Step 3: Hypothesis Scoring","Slected Intent","State Propagation","Simply fetches the intent ID chosen in the previous step (`incident.intent`) to maintain context.","src/pages/RCAPlaygroundPage.tsx","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 3, ""title"": ""Hypothesis Scoring"", ""data"": {""intent"": ""performance.congestion"", ...}}"
"Step 3: Hypothesis Scoring","Top Hypothesis","Hypothesis Scorer Engine","Selects the hypothesis (`topHypo.description`) that obtained the highest calculated score. The score is displayed as a percentage: `Math.round(total_score * 100)`.","rca_source_backend/agentic_engine/core/hypothesis.py (hypothesis_scorer_best_intent)","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 3, ""data"": {""top_hypothesis"": {""hypothesis_id"": ""H1"", ""total_score"": 0.9, ...}, ...}}"
"Step 3: Hypothesis Scoring","Hypothesis Scores","Score Aggregation","Calculates `total_score = signal_score(metric rules) + log_score(log keyword matches)` for every hypothesis under the Selected Intent, mapping ID to score.","rca_source_backend/agentic_engine/core/hypothesis.py","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 3, ""data"": {""hypotheses"": [{""hypothesis_id"": ""H1"", ""total_score"": 0.9}, ...], ...}}"
"Step 3: Hypothesis Scoring","Log Evidence","Log Rule Evaluator mapping","For every evaluated hypothesis, maps the specific raw log strings from `incident.logs` that triggered a pattern match (`h.matched_logs`) to prove why the hypothesis got a log_score.","rca_source_backend/agentic_engine/core/hypothesis.py (score_logs)","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 3, ""data"": {""hypotheses"": [{""matched_logs"": [""matched string here""]}, ...], ...}}"

"Step 4: Situation Card Generation","Situation ID","Situation Card Builder","Displays the unique ID assigned to the semantic card (`sitObj.situation_id`). Extracted from DB or generated.","rca_source_backend/agentic_engine/core/situation.py","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 4, ""title"": ""Situation Verification"", ""data"": {""situation_card"": {""situation_id"": ""SIT-789""}, ...}}"
"Step 4: Situation Card Generation","Summary","Semantic Template Replacement","Finds a situation template matching `template_id`. Uses regex to replace `{var}` placeholders with actual values of `device`, `top_hypothesis`, metrics etc., yielding a human-readable summary.","rca_source_backend/agentic_engine/core/situation.py (create_situation_card)","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 4, ""data"": {""situation_card"": {""situation_text"": ""summary string""}, ...}}"
"Step 4: Situation Card Generation","Tags","Frontend Hardcoded","Statically displays 'N/A' on the UI as tags are not populated yet.","src/pages/RCAPlaygroundPage.tsx","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 4, ""data"": {...}}"
"Step 4: Situation Card Generation","Input Data","JSON Aggregation","Generates a raw JSON payload combining metadata generated by the situation logic and all logs: `JSON.stringify({...sitObj.metadata, logs: incident.logs})`.","src/pages/RCAPlaygroundPage.tsx","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 4, ""data"": {""situation_card"": {""metadata"": {}}, ""logs"": [], ...}}"
"Step 4: Situation Card Generation","Embedding","Frontend Descriptive Text","Statically displays 'Vector representation stored for similarity search'. On the backend, this text is generated into a vector array for DB insertion.","src/pages/RCAPlaygroundPage.tsx","Vector DB embedding generation model API (e.g. OpenAI ada or local)","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 4, ""data"": {...}}"

"Step 5: Data Correlation Engine","Query","Information Passing","Passes `incident.situation_card.situation_text` as the query string parameter to search the historical store.","src/pages/RCAPlaygroundPage.tsx","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 5, ""title"": ""Data Correlation Engine"", ""data"": {""situation_card"": {""situation_text"": ""query string""}, ...}}"
"Step 5: Data Correlation Engine","Top Match","Vector Similarity Result","Extracts `hCases[0].case_id`, which represents the historical case holding the highest cosine similarity score to the current query.","rca_source_backend/agentic_engine logic","Vector DB (FAISS/Milvus/Qdrant) Search API","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 5, ""data"": {""historical"": {""retrieved_cases"": [{""case_id"": ""CASE-1""}]}}}"
"Step 5: Data Correlation Engine","Retrieved Cases","Vector Capability Enumeration","Loops through the retrieved historical matches mapping their past `case_id`, `sit_summary`, `rca`, and `remedy`. Converts `sim_score` to a display percentage (`sim_score * 100`).","rca_source_backend/agentic_engine/core/correlator.py usage","Vector DB Search API","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 5, ""data"": {""historical"": {""retrieved_cases"": [{""case_id"": ""CASE-1"", ""rca"": """", ""sim_score"": 0.9}]}}}"
"Step 5: Data Correlation Engine","Confidence Boost","Frontend Hardcoded Modifier","Statically renders '+0.15' on the UI to indicate the positive weight applied to the hypothesis score due to historical backing.","src/pages/RCAPlaygroundPage.tsx","None","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 5, ""data"": {...}}"

"Step 6: RCA Correlator Engine","Final RCA","Generative LLM Engine","Extracts the `rca` key parsed directly from the JSON returned by the Large Language Model prompt (which contained all previous evidence).","rca_source_backend/agentic_engine/core/correlator.py (correlator_llm)","LLM API call (call_ollama_api -> Ollama/OpenAI API)","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 6, ""title"": ""Final RCA & Remedy"", ""data"": {""correlator_llm_output"": {""rca"": ""root cause context...""}}}"
"Step 6: RCA Correlator Engine","RCA Confidence","Generative LLM Engine","Extracts the `confidence` key outputted by the LLM as part of its judgment reasoning.","rca_source_backend/agentic_engine/core/correlator.py (correlator_llm)","LLM API call (call_ollama_api)","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 6, ""data"": {""correlator_llm_output"": {""confidence"": 0.89}}}"
"Step 6: RCA Correlator Engine","Key Evidence","Generative LLM Engine","Formats the list of objects returned by the LLM under `evidence_used` joining `metric` and `value` to display what specific telemetry the LLM based its RCA upon.","rca_source_backend/agentic_engine/core/correlator.py / src/pages/RCAPlaygroundPage.tsx","LLM API call (call_ollama_api)","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 6, ""data"": {""correlator_llm_output"": {""evidence_used"": [{""metric"": ""A"", ""value"": ""B""}]}}}"
"Step 6: RCA Correlator Engine","Proposed Remedy","Generative LLM Engine","Parses the list of strings output by the LLM under `remedy`, replacing semicolons with line breaks and bullets for formatting (`r.replace(';', '<br>• ')`).","rca_source_backend/agentic_engine/core/correlator.py (correlator_llm) / src/pages/RCAPlaygroundPage.tsx","LLM API call (call_ollama_api)","POST /api/rca/run-flow HTTP/1.1","multipart/form-data (file: <excel file>)","{""step"": 6, ""data"": {""correlator_llm_output"": {""remedy"": [""Step1"", ""Step2""]}}}"
